time,true_x,true_y,discovered_x,discovered_y
0.0,5.0,2.0,5.0,2.0
0.02501250625312656,4.759673453141972,2.0341165517832716,4.769954731138016,2.0308768297390514
0.05002501250625312,4.5378351750791435,2.061875545806841,4.553755907827037,2.056870988157702
0.07503751875937968,4.332930564250753,2.0839019823307523,4.35116107703742,2.078199726256803
0.10005002501250625,4.143538688623801,2.1007651219733696,4.161782101732117,2.095109537703266
0.1250625312656328,3.968361588925598,2.1129829875237776,3.9851185352543355,2.107867467118896
0.15007503751875936,3.8062119191105435,2.121027563058869,3.8205877954157033,2.1167533118641013
0.17508754377188593,3.6560053753713837,2.1253279771482467,3.6675516360420217,2.1220528460086068
0.2001000500250125,3.5167503892512397,2.12627483708553,3.5253387273429246,2.124052111499802
0.22511255627813906,3.387540672099104,2.124223362302023,3.3932633970609265,2.123032757431702
0.2501250625312656,3.267547661506837,2.119496558665463,3.2706407552739356,2.1192683628595095
0.27513756878439216,3.15601383907358,2.112388025606197,3.156798535120037,2.113021649622971
0.3001500750375187,3.052246517025671,2.103164565600852,3.0510860409229816,2.1045424761003777
0.3251625812906453,2.9556122961621405,2.092068510713674,2.952880615500119,2.0940664977099783
0.35017508754377186,2.8655319571487405,2.079319866517881,2.8615920308122473,2.0818143823681674
0.3751875937968984,2.781475691477817,2.065118312904151,2.7766651802512987,2.0679914764041385
0.400200100050025,2.70295884735809,2.0496449878997294,2.6975814135773675,2.052787826805752
0.42521260630315155,2.629538057348572,2.033064110651457,2.623858813320232,2.036378477361207
0.4502251125562781,2.560807657376464,2.0155244816792974,2.5550516679449236,2.0189239683079396
0.4752376188094047,2.496396423027419,1.9971608494904667,2.4907493552844495,2.0005709806755307
0.5002501250625312,2.4359645977440403,1.9780951542465053,2.4305748112266508,1.9814530771894514
0.5252626313156578,2.3792011737776626,1.9584376650017343,2.3741827243643803,1.961691501120913
0.5502751375687843,2.3258214370974426,1.9382880057846297,2.321257567670277,1.941396002716882
0.5752876438219109,2.27556465117943,1.9177361232762984,2.2715115530239767,1.9206656698779614
0.6003001500750375,2.2281920247136595,1.896863134910337,2.224682573610425,1.8995897455647617
0.625312656328164,2.1834848157545657,1.8757421195957629,2.1805321819125294,1.878248419250308
0.6503251625812906,2.141242590487209,1.8544388433935477,2.138843637365956,1.8567135835661848
0.6753376688344171,2.10128167307071,1.8330124047725571,2.0994200468737247,1.8350495503364868
