time,x,y,dx_dt,dy_dt
0.0,5.0,2.0,-10.0,1.5
0.02501250625312656,4.759673453141972,2.0341165517832716,-9.22784553175101,1.2325312801528674
0.05002501250625312,4.5378351750791435,2.061875545806841,-8.520692206527169,0.9912383388609673
0.07503751875937968,4.332930564250753,2.0839019823307523,-7.8729387192561315,0.7737845343295495
0.10005002501250625,4.143538688623801,2.1007651219733696,-7.2794683829113485,0.5780371368013659
0.1250625312656328,3.968361588925598,2.1129829875237776,-6.735610285491127,0.40205094874737135
0.15007503751875936,3.8062119191105435,2.121027563058869,-6.2370944127433265,0.24404938261118536
0.17508754377188593,3.6560053753713837,2.1253279771482467,-5.780024160391781,0.10241287211187533
0.2001000500250125,3.5167503892512397,2.12627483708553,-5.360838912125425,-0.02433690530217847
0.22511255627813906,3.387540672099104,2.124223362302023,-4.976286972844278,-0.13754843856384058
0.2501250625312656,3.267547661506837,2.119496558665463,-4.623398146522316,-0.23845194264204173
0.27513756878439216,3.15601383907358,2.112388025606197,-4.299459478811445,-0.3281695832430729
0.3001500750375187,3.052246517025671,2.103164565600852,-4.001992702675736,-0.40772498307817395
0.3251625812906453,2.9556122961621405,2.092068510713674,-3.7287341224159105,-0.4780516995245847
0.35017508754377186,2.8655319571487405,2.079319866517881,-3.4776160716694013,-0.5400010383429543
0.3751875937968984,2.781475691477817,2.065118312904151,-3.246749605077224,-0.5943493470261916
0.400200100050025,2.70295884735809,2.0496449878997294,-3.034409060224676,-0.6418045192273132
0.42521260630315155,2.629538057348572,2.033064110651457,-2.83901800606853,-0.6830119143634708
0.4502251125562781,2.560807657376464,2.0155244816792974,-2.659136249610446,-0.7185598308801286
0.4752376188094047,2.496396423027419,1.9971608494904667,-2.4934479948465573,-0.7489844935110228
0.5002501250625312,2.4359645977440403,1.9780951542465053,-2.340751061862363,-0.7747745934001218
0.5252626313156578,2.3792011737776626,1.9584376650017343,-2.1999470238303864,-0.7963754411027053
0.5502751375687843,2.3258214370974426,1.9382880057846297,-2.0700323026153837,-0.8141927152892463
0.5752876438219109,2.27556465117943,1.9177361232762984,-1.950089768623843,-0.8285959988529608
0.6003001500750375,2.2281920247136595,1.896863134910337,-1.8392813717754728,-0.8399218801232124
0.625312656328164,2.1834848157545657,1.8757421195957629,-1.7368412678700524,-0.8484768452145353
0.6503251625812906,2.141242590487209,1.8544388433935477,-1.642069506371305,-0.8545399336518336
0.6753376688344171,2.10128167307071,1.8330124047725571,-1.5543264120532938,-0.858365101395197
0.7003501750875437,2.063433673827154,1.8115158469816282,-1.4730272510090194,-0.8601834640280039
0.7253626813406703,2.0275442014666623,1.7899966929681834,-1.3976375649477113,-0.8602052581322792
0.7503751875937968,1.9934716465013127,1.7684974504283713,-1.3276687638613813,-0.8586216937913755
0.7753876938469234,1.961086086829574,1.7470560654895688,-1.2626741622543687,-0.8556066200877366
0.80040020010005,1.9302682921574754,1.7257063348647783,-1.2022453741752592,-0.8513180393554396
0.8254127063531765,1.9009087932581334,1.7044782908088407,-1.1460089435611396,-0.8458995222809409
0.8504252126063031,1.872907075830547,1.6833985336857533,-1.0936234269630116,-0.8394814322811375
0.8754377188594297,1.8461707847703852,1.6624905602784545,-1.0447765138934737,-0.8321821341243352
0.9004502251125562,1.8206150202427158,1.6417750535366606,-0.9991824804231562,-0.824109062086547
0.9254627313656828,1.7961617434046988,1.6212701262256957,-0.9565800408755525,-0.8153596202743147
0.9504752376188094,1.7727391552997458,1.6009915760234887,-0.9167301018640042,-0.8060221242654619
0.9754877438719359,1.7502811891443661,1.5809530929406719,-0.8794139280220907,-0.7961765691810783
1.0005002501250624,1.7287270105768489,1.561166463515588,-0.8444313364571645,-0.7858953857542181
1.025512756378189,1.7080205774549513,1.5416417500307782,-0.811599107318687,-0.775244105336711
1.0505252626313155,1.6881102305813733,1.5223874568181586,-0.7807495065168819,-0.764281977704002
1.075537768884442,1.6689483272848287,1.5034106786180825,-0.7517289639273619,-0.7530625233707782
1.1005502751375686,1.6504909043072908,1.4847172367069283,-0.7243968578614801,-0.7416340411838307
1.1255627813906952,1.6326973649154268,1.4663118049345296,-0.698624387344486,-0.7300400789779102
1.1505752876438218,1.6155301950633585,1.4481980236314902,-0.6742935497428397,-0.7183198598902127
1.1755877938969483,1.598954707274773,1.4303786019460387,-0.6512962189052609,-0.7065086663717624
1.200600300150075,1.5829388048016433,1.412855411748125,-0.6295332967827423,-0.6946381933007084
1.2256128064032015,1.567452764306931,1.3956295738373734,-0.6089139321647328,-0.6827368728798222
1.250625312656328,1.5524690400915964,1.3787015351784224,-0.5893548175071555,-0.670830166685197
1.2756378189094546,1.5379620816873056,1.3620711406111716,-0.5707795341451591,-0.6589408373981824
1.3006503251625812,1.5239081710639069,1.3457376963986059,-0.5531179685938121,-0.6470891906403924
1.3256628314157077,1.5102852690005693,1.329700030016384,-0.5363057619771321,-0.6352933029240635
1.3506753376688343,1.497072881185246,1.3139565417280834,-0.5202838309636133,-0.6235692195254037
1.3756878439219609,1.4842519287766216,1.2985052543810442,-0.5049979047582986,-0.6119311456726069
1.4007003501750874,1.4718046353307976,1.2833438564025748,-0.4903981213885311,-0.6003916128061442
1.425712856428214,1.459714419474649,1.2684697424705065,-0.4764386447181874,-0.5889616361785757
1.4507253626813406,1.4479658002615046,1.2538800489331237,-0.4630773273848279,-0.5776508531643314
1.4757378689344671,1.4365443077031002,1.2395716871404783,-0.4502753923985834,-0.5664676537779272
1.5007503751875937,1.4254364027741822,1.2255413728744726,-0.4379971490108372,-0.5554192968149452
